,Pavadinimas,Ketvirtis,Vertė
270,"     Elektrinės, kūrenamos biomase    ",2017-Q3,0.046
271,"     Elektrinės, kūrenamos biodujomis",2017-Q3,0.031
272,     Saulės energijos elektrinės,2017-Q3,0.025
273,     Atliekų deginimo elektrinės,2017-Q3,0.02
274,Baterijų technologijos,2017-Q3,0.0
275,Komercinis sistemos balansas (-Importas/+eksportas),2017-Q3,-2.193
276,Elektros energijos gamyba (Neto),2017-Q4,1.126
277,Šiluminės elektrinės,2017-Q4,0.22
278,Kruonio HAE,2017-Q4,0.147
279,Hidroelektrinės,2017-Q4,0.181
280,Vėjo elektrinės,2017-Q4,0.449
281,Kiti atsinaujinantys energijos ištekliai,2017-Q4,0.128
282,"     Elektrinės, kūrenamos biomase    ",2017-Q4,0.071
283,"     Elektrinės, kūrenamos biodujomis",2017-Q4,0.035
284,     Saulės energijos elektrinės,2017-Q4,0.005
285,     Atliekų deginimo elektrinės,2017-Q4,0.018
286,Baterijų technologijos,2017-Q4,0.0
287,Komercinis sistemos balansas (-Importas/+eksportas),2017-Q4,-2.231
288,Elektros energijos gamyba (Neto),2018-Q1,0.913
289,Šiluminės elektrinės,2018-Q1,0.187
290,Kruonio HAE,2018-Q1,0.122
291,Hidroelektrinės,2018-Q1,0.169
292,Vėjo elektrinės,2018-Q1,0.296
293,Kiti atsinaujinantys energijos ištekliai,2018-Q1,0.138
294,"     Elektrinės, kūrenamos biomase    ",2018-Q1,0.072
295,"     Elektrinės, kūrenamos biodujomis",2018-Q1,0.035
296,     Saulės energijos elektrinės,2018-Q1,0.01
297,     Atliekų deginimo elektrinės,2018-Q1,0.022
298,Baterijų technologijos,2018-Q1,0.0
299,Komercinis sistemos balansas (-Importas/+eksportas),2018-Q1,-2.517
300,Elektros energijos gamyba (Neto),2018-Q2,0.779
301,Šiluminės elektrinės,2018-Q2,0.149
302,Kruonio HAE,2018-Q2,0.104
303,Hidroelektrinės,2018-Q2,0.118
304,Vėjo elektrinės,2018-Q2,0.281
305,Kiti atsinaujinantys energijos ištekliai,2018-Q2,0.129
306,"     Elektrinės, kūrenamos biomase    ",2018-Q2,0.048
307,"     Elektrinės, kūrenamos biodujomis",2018-Q2,0.033
308,     Saulės energijos elektrinės,2018-Q2,0.035
309,     Atliekų deginimo elektrinės,2018-Q2,0.014
310,Baterijų technologijos,2018-Q2,0.0
311,Komercinis sistemos balansas (-Importas/+eksportas),2018-Q2,-2.157
312,Elektros energijos gamyba (Neto),2018-Q3,0.743
313,Šiluminės elektrinės,2018-Q3,0.163
314,Kruonio HAE,2018-Q3,0.146
315,Hidroelektrinės,2018-Q3,0.06
316,Vėjo elektrinės,2018-Q3,0.245
317,Kiti atsinaujinantys energijos ištekliai,2018-Q3,0.128
318,"     Elektrinės, kūrenamos biomase    ",2018-Q3,0.05
319,"     Elektrinės, kūrenamos biodujomis",2018-Q3,0.033
320,     Saulės energijos elektrinės,2018-Q3,0.028
321,     Atliekų deginimo elektrinės,2018-Q3,0.017
322,Baterijų technologijos,2018-Q3,0.0
323,Komercinis sistemos balansas (-Importas/+eksportas),2018-Q3,-2.317
324,Elektros energijos gamyba (Neto),2018-Q4,0.785
325,Šiluminės elektrinės,2018-Q4,0.108
326,Kruonio HAE,2018-Q4,0.149
327,Hidroelektrinės,2018-Q4,0.079
328,Vėjo elektrinės,2018-Q4,0.317
329,Kiti atsinaujinantys energijos ištekliai,2018-Q4,0.132
330,"     Elektrinės, kūrenamos biomase    ",2018-Q4,0.07
331,"     Elektrinės, kūrenamos biodujomis",2018-Q4,0.036
332,     Saulės energijos elektrinės,2018-Q4,0.007
333,     Atliekų deginimo elektrinės,2018-Q4,0.019
334,Baterijų technologijos,2018-Q4,0.0
335,Komercinis sistemos balansas (-Importas/+eksportas),2018-Q4,-2.642
336,Elektros energijos gamyba (Neto),2019-Q1,0.992
